instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange,norm_tradingsymbol
234497,916,EIDPARRY,EID PARRY INDIA,0.0,,0.0,0.1,1,EQ,NSE,NSE,EIDPARRY
235265,919,EIHOTEL,EIH - OBEROI HOTELS,0.0,,0.0,0.05,1,EQ,NSE,NSE,EIHOTEL
239873,937,ELGIEQUIP,ELGI EQUIPMENTS,0.0,,0.0,0.05,1,EQ,NSE,NSE,ELGIEQUIP
245249,958,ESCORTS,ESCORTS KUBOTA,0.0,,0.0,0.1,1,EQ,NSE,NSE,ESCORTS
258049,1008,FACT,FACT,0.0,,0.0,0.05,1,EQ,NSE,NSE,FACT
258817,1011,SCHAEFFLER,SCHAEFFLER INDIA,0.0,,0.0,0.1,1,EQ,NSE,NSE,SCHAEFFLER
261889,1023,FEDERALBNK,FEDERAL BANK,0.0,,0.0,0.01,1,EQ,NSE,NSE,FEDERALBNK
265729,1038,FINCABLES,FINOLEX CABLES,0.0,,0.0,0.05,1,EQ,NSE,NSE,FINCABLES
266497,1041,FINPIPE,FINOLEX INDUSTRIES,0.0,,0.0,0.01,1,EQ,NSE,NSE,FINPIPE
275457,1076,ZENSARTECH,ZENSAR TECHNOLOGIES ,0.0,,0.0,0.05,1,EQ,NSE,NSE,ZENSARTECH
295169,1153,GLAXO,GLAXOSMITHKLINE PHARMA LT,0.0,,0.0,0.1,1,EQ,NSE,NSE,GLAXO
297985,1164,NEWGEN,NEWGEN SOFTWARE TECH,0.0,,0.0,0.05,1,EQ,NSE,NSE,NEWGEN
302337,1181,GODFRYPHLP,GODFREY PHILLIPS INDIA LT,0.0,,0.0,0.1,1,EQ,NSE,NSE,GODFRYPHLP
303361,1185,AMBER,AMBER ENTERPRISES (I),0.0,,0.0,0.5,1,EQ,NSE,NSE,AMBER
303617,1186,GLAND,GLAND PHARMA,0.0,,0.0,0.1,1,EQ,NSE,NSE,GLAND
315393,1232,GRASIM,GRASIM INDUSTRIES,0.0,,0.0,0.1,1,EQ,NSE,NSE,GRASIM
320001,1250,CASTROLIND,CASTROL INDIA,0.0,,0.0,0.01,1,EQ,NSE,NSE,CASTROLIND
325121,1270,AMBUJACEM,AMBUJA CEMENTS,0.0,,0.0,0.05,1,EQ,NSE,NSE,AMBUJACEM
341249,1333,HDFCBANK,HDFC BANK,0.0,,0.0,0.05,1,EQ,NSE,NSE,HDFCBANK
342017,1336,HEG,HEG,0.0,,0.0,0.05,1,EQ,NSE,NSE,HEG
345089,1348,HEROMOTOCO,HERO MOTOCORP,0.0,,0.0,0.5,1,EQ,NSE,NSE,HEROMOTOCO
348929,1363,HINDALCO,HINDALCO  INDUSTRIES ,0.0,,0.0,0.05,1,EQ,NSE,NSE,HINDALCO
356865,1394,HINDUNILVR,HINDUSTAN UNILEVER,0.0,,0.0,0.1,1,EQ,NSE,NSE,HINDUNILVR
359937,1406,HINDPETRO,HINDUSTAN PETROLEUM CORP,0.0,,0.0,0.05,1,EQ,NSE,NSE,HINDPETRO
364545,1424,HINDZINC,HINDUSTAN ZINC,0.0,,0.0,0.05,1,EQ,NSE,NSE,HINDZINC
375553,1467,AKZOINDIA,AKZO NOBEL INDIA,0.0,,0.0,0.1,1,EQ,NSE,NSE,AKZOINDIA
377857,1476,IDBI,IDBI BANK,0.0,,0.0,0.01,1,EQ,NSE,NSE,IDBI
381697,1491,IFCI,IFCI,0.0,,0.0,0.01,1,EQ,NSE,NSE,IFCI
386049,1508,ASTERDM,ASTER DM HEALTHCARE,0.0,,0.0,0.05,1,EQ,NSE,NSE,ASTERDM
387073,1512,INDHOTEL,THE INDIAN HOTELS CO.,0.0,,0.0,0.05,1,EQ,NSE,NSE,INDHOTEL
387841,1515,INDIACEM,THE INDIA CEMENTS,0.0,,0.0,0.05,1,EQ,NSE,NSE,INDIACEM
403457,1576,GILLETTE,GILLETTE INDIA,0.0,,0.0,0.5,1,EQ,NSE,NSE,GILLETTE
408065,1594,INFY,INFOSYS,0.0,,0.0,0.1,1,EQ,NSE,NSE,INFY
414977,1621,TATAINVEST,TATA INVESTMENT CORP,0.0,,0.0,0.05,1,EQ,NSE,NSE,TATAINVEST
415745,1624,IOC,INDIAN OIL CORP,0.0,,0.0,0.01,1,EQ,NSE,NSE,IOC
416513,1627,LINDEINDIA,LINDE INDIA,0.0,,0.0,0.5,1,EQ,NSE,NSE,LINDEINDIA
418049,1633,IPCALAB,IPCA LABORATORIES,0.0,,0.0,0.1,1,EQ,NSE,NSE,IPCALAB
424961,1660,ITC,ITC,0.0,,0.0,0.05,1,EQ,NSE,NSE,ITC
428801,1675,ITI,ITI,0.0,,0.0,0.05,1,EQ,NSE,NSE,ITI
441857,1726,JBCHEPHARM,J B CHEMICALS AND PHARMA,0.0,,0.0,0.1,1,EQ,NSE,NSE,JBCHEPHARM
462849,1808,KAJARIACER,KAJARIA CERAMICS,0.0,,0.0,0.1,1,EQ,NSE,NSE,KAJARIACER
464385,1814,KPIL,KALPATARU PROJECT INT,0.0,,0.0,0.1,1,EQ,NSE,NSE,KPIL
470529,1838,KARURVYSYA,KARUR VYSYA BANK,0.0,,0.0,0.01,1,EQ,NSE,NSE,KARURVYSYA
486657,1901,CUMMINSIND,CUMMINS INDIA,0.0,,0.0,0.1,1,EQ,NSE,NSE,CUMMINSIND
492033,1922,KOTAKBANK,KOTAK MAHINDRA BANK,0.0,,0.0,0.1,1,EQ,NSE,NSE,KOTAKBANK
498945,1949,KSB,KSB,0.0,,0.0,0.05,1,EQ,NSE,NSE,KSB
502785,1964,TRENT,TRENT,0.0,,0.0,0.1,1,EQ,NSE,NSE,TRENT
511233,1997,LICHSGFIN,LIC HOUSING FINANCE,0.0,,0.0,0.05,1,EQ,NSE,NSE,LICHSGFIN
519425,2029,IRFC,INDIAN RAILWAY FIN CORP L,0.0,,0.0,0.01,1,EQ,NSE,NSE,IRFC
519937,2031,M&M,MAHINDRA & MAHINDRA,0.0,,0.0,0.1,1,EQ,NSE,NSE,MM
523009,2043,RAMCOCEM,THE RAMCO CEMENTS,0.0,,0.0,0.1,1,EQ,NSE,NSE,RAMCOCEM
524545,2049,CHENNPETRO,CHENNAI PETROLEUM CORP LT,0.0,,0.0,0.05,1,EQ,NSE,NSE,CHENNPETRO
526337,2056,HOMEFIRST,HOME FIRST FIN CO IND,0.0,,0.0,0.1,1,EQ,NSE,NSE,HOMEFIRST
530689,2073,VTL,VARDHMAN TEXTILES,0.0,,0.0,0.05,1,EQ,NSE,NSE,VTL
533761,2085,MAHSCOOTER,MAHARASHTRA SCOOTERS,0.0,,0.0,1.0,1,EQ,NSE,NSE,MAHSCOOTER
534529,2088,MAHSEAMLES,MAHARASHTRA SEAMLESS,0.0,,0.0,0.05,1,EQ,NSE,NSE,MAHSEAMLES
548353,2142,MFSL,MAX FINANCIAL SERV,0.0,,0.0,0.1,1,EQ,NSE,NSE,MFSL
548865,2144,BDL,BHARAT DYNAMICS,0.0,,0.0,0.1,1,EQ,NSE,NSE,BDL
558337,2181,BOSCHLTD,BOSCH,0.0,,0.0,5.0,1,EQ,NSE,NSE,BOSCHLTD
579329,2263,BANDHANBNK,BANDHAN BANK,0.0,,0.0,0.01,1,EQ,NSE,NSE,BANDHANBNK
582913,2277,MRF,MRF,0.0,,0.0,5.0,1,EQ,NSE,NSE,MRF
584449,2283,MRPL,MRPL,0.0,,0.0,0.01,1,EQ,NSE,NSE,MRPL
589569,2303,HAL,HINDUSTAN AERONAUTICS,0.0,,0.0,0.1,1,EQ,NSE,NSE,HAL
593665,2319,NCC,NCC,0.0,,0.0,0.01,1,EQ,NSE,NSE,NCC
615937,2406,NEULANDLAB,NEULAND LAB,0.0,,0.0,1.0,1,EQ,NSE,NSE,NEULANDLAB
622337,2431,RAILTEL,RAILTEL CORP OF IND,0.0,,0.0,0.05,1,EQ,NSE,NSE,RAILTEL
633601,2475,ONGC,OIL AND NATURAL GAS CORP.,0.0,,0.0,0.05,1,EQ,NSE,NSE,ONGC
648961,2535,PGHH,P&G HYGIENE & HEALTH CARE,0.0,,0.0,1.0,1,EQ,NSE,NSE,PGHH
667137,2606,LEMONTREE,LEMON TREE HOTELS,0.0,,0.0,0.01,1,EQ,NSE,NSE,LEMONTREE
676609,2643,PFIZER,PFIZER,0.0,,0.0,0.5,1,EQ,NSE,NSE,PFIZER
678145,2649,PCBL,PCBL CHEMICAL,0.0,,0.0,0.05,1,EQ,NSE,NSE,PCBL
681985,2664,PIDILITIND,PIDILITE INDUSTRIES,0.0,,0.0,0.1,1,EQ,NSE,NSE,PIDILITIND
692481,2705,PRAJIND,PRAJ INDUSTRIES,0.0,,0.0,0.05,1,EQ,NSE,NSE,PRAJIND
712449,2783,JUBLINGREA,JUBILANT INGREVIA,0.0,,0.0,0.05,1,EQ,NSE,NSE,JUBLINGREA
730625,2854,CRAFTSMAN,CRAFTSMAN AUTOMATION,0.0,,0.0,0.5,1,EQ,NSE,NSE,CRAFTSMAN
733697,2866,RCF,RASHTRIYA CHEMICALS & FER,0.0,,0.0,0.01,1,EQ,NSE,NSE,RCF
738561,2885,RELIANCE,RELIANCE INDUSTRIES,0.0,,0.0,0.1,1,EQ,NSE,NSE,RELIANCE
756481,2955,KALYANKJIL,KALYAN JEWELLERS IND,0.0,,0.0,0.05,1,EQ,NSE,NSE,KALYANKJIL
758529,2963,SAIL,STEEL AUTHORITY OF INDIA,0.0,,0.0,0.01,1,EQ,NSE,NSE,SAIL
774145,3024,JINDALSAW,JINDAL SAW,0.0,,0.0,0.01,1,EQ,NSE,NSE,JINDALSAW
779521,3045,SBIN,STATE BANK OF INDIA,0.0,,0.0,0.05,1,EQ,NSE,NSE,SBIN
780289,3048,SCI,SHIPPING CORP OF INDIA LT,0.0,,0.0,0.05,1,EQ,NSE,NSE,SCI
784129,3063,VEDL,VEDANTA,0.0,,0.0,0.05,1,EQ,NSE,NSE,VEDL
794369,3103,SHREECEM,SHREE CEMENT,0.0,,0.0,5.0,1,EQ,NSE,NSE,SHREECEM
806401,3150,SIEMENS,SIEMENS,0.0,,0.0,0.1,1,EQ,NSE,NSE,SIEMENS
815617,3186,SKFINDIA,SKF INDIA,0.0,,0.0,0.1,1,EQ,NSE,NSE,SKFINDIA
824321,3220,LODHA,LODHA DEVELOPERS,0.0,,0.0,0.1,1,EQ,NSE,NSE,LODHA
837889,3273,SRF,SRF,0.0,,0.0,0.1,1,EQ,NSE,NSE,SRF
854785,3339,SUNDARMFIN,SUNDARAM FINANCE,0.0,,0.0,0.1,1,EQ,NSE,NSE,SUNDARMFIN
856321,3345,SUNDRMFAST,SUNDRAM FASTENERS,0.0,,0.0,0.05,1,EQ,NSE,NSE,SUNDRMFAST
857857,3351,SUNPHARMA,SUN PHARMACEUTICAL IND L,0.0,,0.0,0.1,1,EQ,NSE,NSE,SUNPHARMA
860929,3363,SUPREMEIND,SUPREME INDUSTRIES,0.0,,0.0,0.1,1,EQ,NSE,NSE,SUPREMEIND
871681,3405,TATACHEM,TATA CHEMICALS,0.0,,0.0,0.05,1,EQ,NSE,NSE,TATACHEM
873217,3411,TATAELXSI,TATA ELXSI,0.0,,0.0,0.5,1,EQ,NSE,NSE,TATAELXSI
874753,3417,HONAUT,HONEYWELL AUTOMATION IND,0.0,,0.0,5.0,1,EQ,NSE,NSE,HONAUT
877057,3426,TATAPOWER,TATA POWER CO,0.0,,0.0,0.05,1,EQ,NSE,NSE,TATAPOWER
878593,3432,TATACONSUM,TATA CONSUMER PRODUCT,0.0,,0.0,0.1,1,EQ,NSE,NSE,TATACONSUM
884737,3456,TMPV,TATA MOTORS PASS VEH,0.0,,0.0,0.05,1,EQ,NSE,NSE,TMPV
889601,3475,THERMAX,THERMAX,0.0,,0.0,0.1,1,EQ,NSE,NSE,THERMAX
895745,3499,TATASTEEL,TATA STEEL,0.0,,0.0,0.01,1,EQ,NSE,NSE,TATASTEEL
897537,3506,TITAN,TITAN COMPANY,0.0,,0.0,0.1,1,EQ,NSE,NSE,TITAN
900609,3518,TORNTPHARM,TORRENT PHARMACEUTICALS L,0.0,,0.0,0.1,1,EQ,NSE,NSE,TORNTPHARM
912129,3563,ADANIGREEN,ADANI GREEN ENERGY,0.0,,0.0,0.1,1,EQ,NSE,NSE,ADANIGREEN
931073,3637,JUBLPHARMA,JUBILANT PHARMOVA,0.0,,0.0,0.1,1,EQ,NSE,NSE,JUBLPHARMA
951809,3718,VOLTAS,VOLTAS,0.0,,0.0,0.1,1,EQ,NSE,NSE,VOLTAS
952577,3721,TATACOMM,TATA COMMUNICATIONS,0.0,,0.0,0.1,1,EQ,NSE,NSE,TATACOMM
962817,3761,RITES,RITES,0.0,,0.0,0.01,1,EQ,NSE,NSE,RITES
969473,3787,WIPRO,WIPRO,0.0,,0.0,0.01,1,EQ,NSE,NSE,WIPRO
975873,3812,ZEEL,ZEE ENTERTAINMENT ENT,0.0,,0.0,0.01,1,EQ,NSE,NSE,ZEEL
999937,3906,CAPLIPOINT,CAPLIN POINT LAB,0.0,,0.0,0.1,1,EQ,NSE,NSE,CAPLIPOINT
1003009,3918,NATCOPHARM,NATCO PHARMA,0.0,,0.0,0.05,1,EQ,NSE,NSE,NATCOPHARM
1027585,4014,NAVA,NAVA,0.0,,0.0,0.05,1,EQ,NSE,NSE,NAVA
1041153,4067,MARICO,MARICO,0.0,,0.0,0.05,1,EQ,NSE,NSE,MARICO
1076225,4204,MOTHERSON,SAMVRDHNA MTHRSN INTL,0.0,,0.0,0.01,1,EQ,NSE,NSE,MOTHERSON
1086465,4244,HDFCAMC,HDFC AMC,0.0,,0.0,0.5,1,EQ,NSE,NSE,HDFCAMC
1102337,4306,SHRIRAMFIN,SHRIRAM FINANCE,0.0,,0.0,0.05,1,EQ,NSE,NSE,SHRIRAMFIN
1131777,4421,CREDITACC,CREDITACCESS GRAMEEN,0.0,,0.0,0.1,1,EQ,NSE,NSE,CREDITACC
1148673,4487,ALKYLAMINE,ALKYL AMINES CHEM.,0.0,,0.0,0.1,1,EQ,NSE,NSE,ALKYLAMINE
1152769,4503,MPHASIS,MPHASIS,0.0,,0.0,0.1,1,EQ,NSE,NSE,MPHASIS
1195009,4668,BANKBARODA,BANK OF BARODA,0.0,,0.0,0.05,1,EQ,NSE,NSE,BANKBARODA
1199105,4684,SONACOMS,SONA BLW PRECISION FRGS L,0.0,,0.0,0.05,1,EQ,NSE,NSE,SONACOMS
1201409,4693,SHYAMMETL,SHYAM METALICS AND ENGY L,0.0,,0.0,0.05,1,EQ,NSE,NSE,SHYAMMETL
1207553,4717,GAIL,GAIL (INDIA),0.0,,0.0,0.01,1,EQ,NSE,NSE,GAIL
1214721,4745,BANKINDIA,BANK OF INDIA,0.0,,0.0,0.01,1,EQ,NSE,NSE,BANKINDIA
1215745,4749,CONCOR,CONTAINER CORP OF IND,0.0,,0.0,0.05,1,EQ,NSE,NSE,CONCOR
1240833,4847,KIMS,KRISHNA INST OF MED SCI L,0.0,,0.0,0.05,1,EQ,NSE,NSE,KIMS
1252353,4892,SAREGAMA,SAREGAMA INDIA,0.0,,0.0,0.05,1,EQ,NSE,NSE,SAREGAMA
1256193,4907,ENGINERSIN,ENGINEERS INDIA,0.0,,0.0,0.01,1,EQ,NSE,NSE,ENGINERSIN
1270529,4963,ICICIBANK,ICICI BANK,0.0,,0.0,0.1,1,EQ,NSE,NSE,ICICIBANK
1276417,4986,IRCON,IRCON INTERNATIONAL,0.0,,0.0,0.01,1,EQ,NSE,NSE,IRCON
1292545,5049,CLEAN,CLEAN SCIENCE & TECH,0.0,,0.0,0.1,1,EQ,NSE,NSE,CLEAN
1304833,5097,ETERNAL,ETERNAL - ZOMATO,0.0,,0.0,0.05,1,EQ,NSE,NSE,ETERNAL
1332225,5204,GMDCLTD,GUJARAT MINERAL DEV CORP,0.0,,0.0,0.05,1,EQ,NSE,NSE,GMDCLTD
1346049,5258,INDUSINDBK,INDUSIND BANK,0.0,,0.0,0.05,1,EQ,NSE,NSE,INDUSINDBK
1375489,5373,DEVYANI,DEVYANI INTERNATIONAL,0.0,,0.0,0.01,1,EQ,NSE,NSE,DEVYANI
1376769,5378,ASAHIINDIA,ASAHI INDIA GLASS,0.0,,0.0,0.05,1,EQ,NSE,NSE,ASAHIINDIA
1378561,5385,AAVAS,AAVAS FINANCIERS,0.0,,0.0,0.1,1,EQ,NSE,NSE,AAVAS
1389057,5426,NUVOCO,NUVOCO VISTAS CORP,0.0,,0.0,0.05,1,EQ,NSE,NSE,NUVOCO
1391361,5435,APTUS,APTUS VALUE HSG FIN I,0.0,,0.0,0.05,1,EQ,NSE,NSE,APTUS
1401601,5475,GRSE,GARDEN REACH SHIP&ENG,0.0,,0.0,0.1,1,EQ,NSE,NSE,GRSE
1429761,5585,VIJAYA,VIJAYA DIAGNOSTIC CEN,0.0,,0.0,0.05,1,EQ,NSE,NSE,VIJAYA
1436161,5610,ASTRAZEN,ASTRAZENECA PHARMA IND LT,0.0,,0.0,0.5,1,EQ,NSE,NSE,ASTRAZEN
1442049,5633,J&KBANK,J & K BANK,0.0,,0.0,0.01,1,EQ,NSE,NSE,JKBANK
1459457,5701,CUB,CITY UNION BANK,0.0,,0.0,0.01,1,EQ,NSE,NSE,CUB
1471489,5748,CYIENT,CYIENT,0.0,,0.0,0.1,1,EQ,NSE,NSE,CYIENT
1510401,5900,AXISBANK,AXIS BANK,0.0,,0.0,0.1,1,EQ,NSE,NSE,AXISBANK
1517057,5926,INTELLECT,INTELLECT DESIGN ARENA,0.0,,0.0,0.1,1,EQ,NSE,NSE,INTELLECT
1540609,6018,ABSLAMC,ADIT BIRL SUN LIF AMC,0.0,,0.0,0.05,1,EQ,NSE,NSE,ABSLAMC
1552897,6066,ATGL,ADANI TOTAL GAS,0.0,,0.0,0.05,1,EQ,NSE,NSE,ATGL
1629185,6364,NATIONALUM,NATIONAL ALUMINIUM CO,0.0,,0.0,0.01,1,EQ,NSE,NSE,NATIONALUM
1649921,6445,TECHNOE,TECHNO ELEC & ENG CO.,0.0,,0.0,0.1,1,EQ,NSE,NSE,TECHNOE
1675521,6545,NYKAA,FSN E COMMERCE VENTURES,0.0,,0.0,0.01,1,EQ,NSE,NSE,NYKAA
1688577,6596,SONATSOFTW,SONATA SOFTWARE,0.0,,0.0,0.05,1,EQ,NSE,NSE,SONATSOFTW
1703937,6656,POLICYBZR,PB FINTECH,0.0,,0.0,0.1,1,EQ,NSE,NSE,POLICYBZR
1716481,6705,PAYTM,ONE 97 COMMUNICATIONS,0.0,,0.0,0.1,1,EQ,NSE,NSE,PAYTM
1719809,6718,SAPPHIRE,SAPPHIRE FOODS INDIA,0.0,,0.0,0.05,1,EQ,NSE,NSE,SAPPHIRE
1723649,6733,JINDALSTEL,JINDAL STEEL,0.0,,0.0,0.1,1,EQ,NSE,NSE,JINDALSTEL
1745409,6818,LATENTVIEW,LATENT VIEW ANALYTICS,0.0,,0.0,0.05,1,EQ,NSE,NSE,LATENTVIEW
1790465,6994,BSOFT,BIRLASOFT,0.0,,0.0,0.05,1,EQ,NSE,NSE,BSOFT
1813249,7083,STARHEALTH,STAR HEALTH & AL INS CO L,0.0,,0.0,0.05,1,EQ,NSE,NSE,STARHEALTH
1829121,7145,ANANDRATHI,ANAND RATHI WEALTH,0.0,,0.0,0.1,1,EQ,NSE,NSE,ANANDRATHI
1850113,7227,MAPMYINDIA,C.E. INFO SYSTEMS,0.0,,0.0,0.1,1,EQ,NSE,NSE,MAPMYINDIA
1850625,7229,HCLTECH,HCL TECHNOLOGIES,0.0,,0.0,0.1,1,EQ,NSE,NSE,HCLTECH
1883649,7358,DATAPATTNS,DATA PATTERNS INDIA,0.0,,0.0,0.1,1,EQ,NSE,NSE,DATAPATTNS
1895937,7406,GLENMARK,GLENMARK PHARMACEUTICALS,0.0,,0.0,0.1,1,EQ,NSE,NSE,GLENMARK
1921537,7506,WOCKPHARMA,WOCKHARDT,0.0,,0.0,0.1,1,EQ,NSE,NSE,WOCKPHARMA
1922049,7508,ZENTEC,ZEN TECHNOLOGIES,0.0,,0.0,0.1,1,EQ,NSE,NSE,ZENTEC
2010113,7852,INOXWIND,INOX WIND,0.0,,0.0,0.01,1,EQ,NSE,NSE,INOXWIND
2029825,7929,ZYDUSLIFE,ZYDUS LIFESCIENCES,0.0,,0.0,0.05,1,EQ,NSE,NSE,ZYDUSLIFE
2067201,8075,DALBHARAT,DALMIA BHARAT,0.0,,0.0,0.1,1,EQ,NSE,NSE,DALBHARAT
2076161,8110,AWL,AWL AGRI BUSINESS,0.0,,0.0,0.05,1,EQ,NSE,NSE,AWL
2079745,8124,AJANTPHARM,AJANTA PHARMA,0.0,,0.0,0.1,1,EQ,NSE,NSE,AJANTPHARM
2090753,8167,MANYAVAR,VEDANT FASHIONS,0.0,,0.0,0.05,1,EQ,NSE,NSE,MANYAVAR
2127617,8311,BLUESTARCO,BLUE STAR,0.0,,0.0,0.1,1,EQ,NSE,NSE,BLUESTARCO
2170625,8479,TVSMOTOR,TVS MOTOR COMPANY ,0.0,,0.0,0.1,1,EQ,NSE,NSE,TVSMOTOR
2187777,8546,CHALET,CHALET HOTELS,0.0,,0.0,0.05,1,EQ,NSE,NSE,CHALET
2197761,8585,NLCINDIA,NLC INDIA,0.0,,0.0,0.05,1,EQ,NSE,NSE,NLCINDIA
2200577,8596,MSUMI,MOTHERSON SUMI WRNG IND L,0.0,,0.0,0.01,1,EQ,NSE,NSE,MSUMI
2263041,8840,USHAMART,USHA MARTIN,0.0,,0.0,0.05,1,EQ,NSE,NSE,USHAMART
2269697,8866,CHOICEIN,CHOICE INTERNATIONAL,0.0,,0.0,0.05,1,EQ,NSE,NSE,CHOICEIN
2292225,8954,TTML,TATA TELESERV(MAHARASTRA),0.0,,0.0,0.01,1,EQ,NSE,NSE,TTML
2393089,9348,IOB,INDIAN OVERSEAS BANK,0.0,,0.0,0.01,1,EQ,NSE,NSE,IOB
2396673,9362,CAMPUS,CAMPUS ACTIVEWEAR,0.0,,0.0,0.05,1,EQ,NSE,NSE,CAMPUS
2408449,9408,RAINBOW,RAINBOW CHILDRENS MED,0.0,,0.0,0.1,1,EQ,NSE,NSE,RAINBOW
2426881,9480,LICI,LIFE INSURA CORP OF INDIA,0.0,,0.0,0.05,1,EQ,NSE,NSE,LICI
2445313,9552,RVNL,RAIL VIKAS NIGAM,0.0,,0.0,0.05,1,EQ,NSE,NSE,RVNL
2452737,9581,METROPOLIS,METROPOLIS HEALTHCARE,0.0,,0.0,0.1,1,EQ,NSE,NSE,METROPOLIS
2455041,9590,POLYCAB,POLYCAB INDIA,0.0,,0.0,0.5,1,EQ,NSE,NSE,POLYCAB
2457345,9599,DELHIVERY,DELHIVERY,0.0,,0.0,0.05,1,EQ,NSE,NSE,DELHIVERY
2478849,9683,KPITTECH,KPIT TECHNOLOGIES,0.0,,0.0,0.1,1,EQ,NSE,NSE,KPITTECH
2479361,9685,TRIDENT,TRIDENT,0.0,,0.0,0.01,1,EQ,NSE,NSE,TRIDENT
2513665,9819,HAVELLS,HAVELLS INDIA,0.0,,0.0,0.1,1,EQ,NSE,NSE,HAVELLS
2585345,10099,GODREJCP,GODREJ CONSUMER PRODUCTS,0.0,,0.0,0.1,1,EQ,NSE,NSE,GODREJCP
2615553,10217,ADANIENSOL,ADANI ENERGY SOLUTION,0.0,,0.0,0.05,1,EQ,NSE,NSE,ADANIENSOL
2622209,10243,SYNGENE,SYNGENE INTERNATIONAL,0.0,,0.0,0.05,1,EQ,NSE,NSE,SYNGENE
2672641,10440,LUPIN,LUPIN,0.0,,0.0,0.1,1,EQ,NSE,NSE,LUPIN
2674433,10447,UNITDSPR,UNITED SPIRITS,0.0,,0.0,0.1,1,EQ,NSE,NSE,UNITDSPR
2713345,10599,GUJGASLTD,GUJARAT GAS,0.0,,0.0,0.05,1,EQ,NSE,NSE,GUJGASLTD
2714625,10604,BHARTIARTL,BHARTI AIRTEL,0.0,,0.0,0.1,1,EQ,NSE,NSE,BHARTIARTL
2723073,10637,OLECTRA,OLECTRA GREENTECH,0.0,,0.0,0.1,1,EQ,NSE,NSE,OLECTRA
2730497,10666,PNB,PUNJAB NATIONAL BANK,0.0,,0.0,0.01,1,EQ,NSE,NSE,PNB
2745857,10726,INDIAMART,INDIAMART INTERMESH,0.0,,0.0,0.1,1,EQ,NSE,NSE,INDIAMART
2748929,10738,OFSS,ORACLE FIN SERV SOFT,0.0,,0.0,0.5,1,EQ,NSE,NSE,OFSS
2752769,10753,UNIONBANK,UNION BANK OF INDIA,0.0,,0.0,0.01,1,EQ,NSE,NSE,UNIONBANK
2763009,10793,SYRMA,SYRMA SGS TECHNOLOGY,0.0,,0.0,0.05,1,EQ,NSE,NSE,SYRMA
2763265,10794,CANBK,CANARA BANK,0.0,,0.0,0.01,1,EQ,NSE,NSE,CANBK
2796801,10925,GODREJIND,GODREJ INDUSTRIES,0.0,,0.0,0.1,1,EQ,NSE,NSE,GODREJIND
2800641,10940,DIVISLAB,DIVI S LABORATORIES,0.0,,0.0,0.5,1,EQ,NSE,NSE,DIVISLAB
2813441,10990,RADICO,RADICO KHAITAN,0.0,,0.0,0.1,1,EQ,NSE,NSE,RADICO
2815745,10999,MARUTI,MARUTI SUZUKI INDIA,0.0,,0.0,1.0,1,EQ,NSE,NSE,MARUTI
2863105,11184,IDFCFIRSTB,IDFC FIRST BANK,0.0,,0.0,0.01,1,EQ,NSE,NSE,IDFCFIRSTB
2865921,11195,INDIGO,INTERGLOBE AVIATION,0.0,,0.0,0.5,1,EQ,NSE,NSE,INDIGO
2873089,11223,UCOBANK,UCO BANK,0.0,,0.0,0.01,1,EQ,NSE,NSE,UCOBANK
2876417,11236,JSL,JINDAL STAINLESS,0.0,,0.0,0.05,1,EQ,NSE,NSE,JSL
2880769,11253,WELSPUNLIV,WELSPUN LIVING,0.0,,0.0,0.01,1,EQ,NSE,NSE,WELSPUNLIV
2883073,11262,IGL,INDRAPRASTHA GAS,0.0,,0.0,0.01,1,EQ,NSE,NSE,IGL
2889473,11287,UPL,UPL,0.0,,0.0,0.05,1,EQ,NSE,NSE,UPL
2903809,11343,AFFLE,AFFLE 3I,0.0,,0.0,0.1,1,EQ,NSE,NSE,AFFLE
2905857,11351,PETRONET,PETRONET LNG,0.0,,0.0,0.05,1,EQ,NSE,NSE,PETRONET
2911489,11373,BIOCON,BIOCON,0.0,,0.0,0.05,1,EQ,NSE,NSE,BIOCON
2912513,11377,MAHABANK,BANK OF MAHARASHTRA,0.0,,0.0,0.01,1,EQ,NSE,NSE,MAHABANK
2919169,11403,POONAWALLA,POONAWALLA FINCORP,0.0,,0.0,0.05,1,EQ,NSE,NSE,POONAWALLA
2921217,11411,RKFORGE,RAMKRISHNA FORGINGS,0.0,,0.0,0.05,1,EQ,NSE,NSE,RKFORGE
2931713,11452,CCL,CCL PRODUCTS (I),0.0,,0.0,0.05,1,EQ,NSE,NSE,CCL
2939649,11483,LT,LARSEN & TOUBRO,0.0,,0.0,0.1,1,EQ,NSE,NSE,LT
2941697,11491,APARINDS,APAR INDUSTRIES,0.0,,0.0,0.5,1,EQ,NSE,NSE,APARINDS
2952193,11532,ULTRACEMCO,ULTRATECH CEMENT,0.0,,0.0,1.0,1,EQ,NSE,NSE,ULTRACEMCO
2953217,11536,TCS,TATA CONSULTANCY SERV LT,0.0,,0.0,0.1,1,EQ,NSE,NSE,TCS
2955009,11543,COFORGE,COFORGE,0.0,,0.0,0.1,1,EQ,NSE,NSE,COFORGE
2962177,11571,PPLPHARMA,PIRAMAL PHARMA,0.0,,0.0,0.01,1,EQ,NSE,NSE,PPLPHARMA
2962689,11573,FORCEMOT,FORCE MOTORS,0.0,,0.0,1.0,1,EQ,NSE,NSE,FORCEMOT
